Regimes;PMI;PMF;GPMA;GPMR;TCS;TCA;TS
Regime1;2.57;4.32;1.74;67.79;1.23;4.32;90
Regime1;2.56;4.03;1.48;57.78;1.09;4.56;70
Regime1;2.53;5.44;2.91;114.95;1.82;2.48;60
Regime2;2.54;3.96;1.43;56.39;1.06;4.94;90
Regime2;2.54;4.19;1.65;65.14;1.19;4.64;100
Regime2;2.53;5.3;2.77;109.41;1.76;3.05;90
Regime3;2.54;3.63;1.09;42.76;0.85;6.28;90
Regime3;2.54;5.79;3.25;128.07;1.96;2.3;70
Regime3;2.54;4.94;2.4;94.79;1.59;2.92;60
Regime4;2.53;4.41;1.87;73.97;1.32;4;90
Regime4;2.57;5.44;2.87;11.8;1.79;2.77;90
Regime4;2.54;5.79;3.25;128.04;1.96;2.57;90
